Method,Route,File,AuthLevel,RateLimit,SideEffects,Transaction,Schema,Paginated,Notes
GET|PATCH,/api/admin/orders/{id},src/app/api/admin/orders/[id]/route.ts,staff(ADMIN),,Full order detail (PII) / PATCH status transitions,yes,zod,yes,CANCELLED path: restock+refund in $transaction
POST,/api/admin/orders/{id}/ship,src/app/api/admin/orders/[id]/ship/route.ts,staff(ADMIN),,Create shipment + mark SHIPPED,,zod,,queueShippingNoticeEmail best-effort; carrier-aware tracking URL
GET,/api/admin/orders,src/app/api/admin/orders/route.ts,staff(ADMIN),,"Order list, PAGE_SIZE=20, status/q filters (PII email)",,manual/none,yes,
PATCH,/api/admin/people/{id},src/app/api/admin/people/[id]/route.ts,content-admin,,Update contributor + translations ($transaction),yes,zod,,
GET|POST,/api/admin/people,src/app/api/admin/people/route.ts,content-admin,,List/create contributors,,zod,,
POST,/api/admin/products/{id}/duplicate,src/app/api/admin/products/[id]/duplicate/route.ts,content-admin,,Clone product as DRAFT (no variants),,manual/none,,
GET|PATCH|DELETE,/api/admin/products/{id},src/app/api/admin/products/[id]/route.ts,content-admin,,Full editor GET/PATCH / DELETE draft-only,yes,zod,yes,Up-front referential validation; $transactions; 409 guards
POST,/api/admin/products/bulk-stock,src/app/api/admin/products/bulk-stock/route.ts,content-admin,,Bulk stock adjust (<=50) in one $transaction + audits,yes,zod,,
GET,/api/admin/products/export,src/app/api/admin/products/export/route.ts,content-admin,,Full catalog CSV export (SEC-011 formula neutralization),,manual/none,,Audited; unbounded read (all products)
POST,/api/admin/products/import,src/app/api/admin/products/import/route.ts,content-admin,,"CSV import (per-row validation, one $transaction)",yes,zod,,Skips bad rows w/ reasons; audited
GET|POST,/api/admin/products,src/app/api/admin/products/route.ts,content-admin,,List (page/pageSize<=200) / atomic create (all-or-nothing $transaction),yes,zod,yes,
PATCH|DELETE,/api/admin/promotions/{id},src/app/api/admin/promotions/[id]/route.ts,content-admin,,PATCH/DELETE promotion (single-active invariant),,zod,,
GET|POST,/api/admin/promotions,src/app/api/admin/promotions/route.ts,content-admin,,List/create promotions,,zod,,
GET|POST,/api/admin/reports/digest,src/app/api/admin/reports/digest/route.ts,staff(ADMIN),,Queue sales digest (mail!) GET status / POST ?force=1&days=,,manual/none,,Mail write; no rate limit (admin-only)
GET,/api/admin/reports/export,src/app/api/admin/reports/export/route.ts,staff(ADMIN),,CSV report attachment (window<=365d),,manual/none,yes,
GET,/api/admin/reports,src/app/api/admin/reports/route.ts,staff(ADMIN),,Aggregated report (window<=365d; in-JS aggregation),,manual/none,yes,
PATCH,/api/admin/reviews/{id},src/app/api/admin/reviews/[id]/route.ts,content-admin,,Moderation decision + press reply (audited),,zod,,
GET,/api/admin/reviews,src/app/api/admin/reviews/route.ts,content-admin,,Moderation queue (UNBOUNDED findMany - no pagination),,manual/none,,
GET|PATCH,/api/admin/settings,src/app/api/admin/settings/route.ts,owner,,Feature/store settings GET/PATCH (SEC-012 URL validation),,zod,,OWNER-only; audit
POST,/api/admin/tickets/{id}/messages,src/app/api/admin/tickets/[id]/messages/route.ts,staff(ADMIN),,Support reply (body<=5000),,zod,,
GET|PATCH,/api/admin/tickets/{id},src/app/api/admin/tickets/[id]/route.ts,staff(ADMIN),,Ticket detail + status/priority PATCH (audited),,zod,,
GET,/api/admin/tickets,src/app/api/admin/tickets/route.ts,staff(ADMIN),,Ticket list (UNBOUNDED findMany),,manual/none,yes,
POST,/api/admin/upload,src/app/api/admin/upload/route.ts,content-admin,,"Multipart image upload: magic-byte sniff, <=5MB, random name",,manual/none,,Audited; no rate limit; writes public/uploads
POST,/api/analytics/event,src/app/api/analytics/event/route.ts,anon,60/min/IP,Consent-gated analytics event + taste signal,,zod,,server-side consent verify fail-closed; silent drop
GET,/api/articles/{slug},src/app/api/articles/[slug]/route.ts,anon,,Article detail (404 if missing),,manual/none,,
GET,/api/articles,src/app/api/articles/route.ts,anon,,Published article list,,manual/none,,
POST,/api/auth/confirm-email-change,src/app/api/auth/confirm-email-change/route.ts,anon(token),,Consume change token: swap email + revoke ALL sessions,yes,zod,,$transaction; 409 EMAIL_IN_USE
POST,/api/auth/forgot-password,src/app/api/auth/forgot-password/route.ts,anon,5/10min/IP,Mint reset token + queue mail; ALWAYS {ok:true} (anti-enum),,zod,,dev resetUrl behind DEV_EXPOSE_RESET_LINK+dev
GET,/api/auth/google/callback,src/app/api/auth/google/callback/route.ts,anon,,"OAuth callback: state verify, upsert/link user, session, cart merge",,manual/none,,external fetches; email_verified enforced (SEC-010)
GET,/api/auth/google/start,src/app/api/auth/google/start/route.ts,anon,20/min/IP,OAuth start: HMAC state cookie + 302 to Google,,manual/none,,503 when unconfigured
GET,/api/auth/google/status,src/app/api/auth/google/status/route.ts,anon,,Config status + redirect URI hint,,manual/none,,
POST,/api/auth/login,src/app/api/auth/login/route.ts,anon,10/min/IP,Password login; session cookie + guest cart merge,,zod,,IP rateLimit 10/min + DB per-account lockout (S5); S9 uniform 401
POST,/api/auth/logout,src/app/api/auth/logout/route.ts,anon,,Revoke session + clear cookie,,manual/none,,
GET,/api/auth/me,src/app/api/auth/me/route.ts,anon,,Current user or null,,manual/none,,
POST,/api/auth/register,src/app/api/auth/register/route.ts,anon,5/15min/IP,Create CUSTOMER + session + verify mail,,zod,,rateLimit 5/15min; 409 EMAIL_TAKEN/OAUTH_ACCOUNT; dev devVerifyUrl
POST,/api/auth/reset-password,src/app/api/auth/reset-password/route.ts,anon,10/min/IP,Consume reset token: new pw + revoke ALL sessions + audit,yes,zod,,$transaction
GET|DELETE,/api/auth/sessions,src/app/api/auth/sessions/route.ts,customer,,List own sessions / revoke one|all (S11),,manual/none,,current-flag computed
POST,/api/auth/verify-email,src/app/api/auth/verify-email/route.ts,anon(token),,Consume verify token -> emailVerifiedAt + audit,,zod,,
POST,/api/back-in-stock,src/app/api/back-in-stock/route.ts,anon,5/10min/IP,Upsert restock subscription (PII email),,zod,,"verified-email gate for own account; idempotent per (variant,email)"
GET,/api/bootstrap,src/app/api/bootstrap/route.ts,anon,,Boot payload: user/cart(read-only)/settings/consent/wishlist,,manual/none,,never mints cart row (SEC-005); best-effort sections
PATCH|DELETE,/api/cart/items/{itemId},src/app/api/cart/items/[itemId]/route.ts,anon(guest-cart),120/min/IP,PATCH qty (clamp to stock) / DELETE item,,zod,,ownership via cartId; 429 120/min
POST,/api/cart/items,src/app/api/cart/items/route.ts,anon(guest-cart),60/min/IP,"Add item (merge, clamp to stock/MAX_QTY)",,zod,,creates cart lazily; 429 60/min
GET|DELETE,/api/cart,src/app/api/cart/route.ts,anon,,"Cart payload (read-only, no minting) / DELETE clear items",,manual/none,,
GET,/api/categories,src/app/api/categories/route.ts,anon,,Active categories + published counts,,manual/none,,
POST,/api/checkout/quote,src/app/api/checkout/quote/route.ts,anon,,Shipping/discount/giftwrap quote (soft-fail discount),,zod,,no side effects
POST,/api/checkout,src/app/api/checkout/route.ts,anon,5/min/IP,"Place order: sandbox payment, stock decrement, cart convert, consents, outbox mail",yes,zod,,BIG $transaction; TOCTOU price recheck; idempotency-key 15min in-memory; 429 5/min; fail-closed 503 w/o provider
POST,/api/contact,src/app/api/contact/route.ts,anon,5/10min/IP,Guest contact -> Ticket + message (PII name/email),,zod,,429 5/10min; P2002 retry
GET,/api/cron/tick,src/app/api/cron/tick/route.ts,cron-secret,,Housekeeping + mail dispatch + digest,,manual/none,,timing-safe Bearer CRON_SECRET; 403 DISABLED when unset
POST,/api/discount/validate,src/app/api/discount/validate/route.ts,anon,10/min/IP,Validate code vs cart (422 on fail),,zod,,429 10/min
GET,/api/for-you,src/app/api/for-you/route.ts,anon,,Personalized suggestions from taste signals (take<=12),,manual/none,yes,empty on doubt
GET,/api/healthz,src/app/api/healthz/route.ts,anon,,Liveness+DB probe; side-effectful only when HEALTHZ_OPS=1,,manual/none,,503 on DB fail; dev default ops=1
GET,/api/homepage,src/app/api/homepage/route.ts,anon,,Published homepage sections,,manual/none,,
GET,/api/legal/{type},src/app/api/legal/[type]/route.ts,anon,,Current legal doc by type/locale (404 unknown type),,manual/none,,
POST,/api/newsletter/confirm,src/app/api/newsletter/confirm/route.ts,anon(token),20/10min/IP,Double opt-in confirm (HMAC sig),,zod,,429 20/10min; idempotent
POST,/api/newsletter,src/app/api/newsletter/route.ts,anon,5/10min/IP,Subscribe (PENDING) + signed confirm mail; uniform {ok:true} (S9),,zod,,429 5/10min; double opt-in
GET,/api/newsletter/unsubscribe,src/app/api/newsletter/unsubscribe/route.ts,anon(sig),,"One-click unsubscribe via HMAC link (GET, redirect)",,manual/none,,sig = credential
GET,/api/orders/{orderNumber},src/app/api/orders/[orderNumber]/route.ts,anon,10/min/IP,Guest order tracking: publicRef OR number+email (S9 uniform 404),,manual/none,yes,429 10/min; no giftMessage; safeTrackingUrl
GET,/api/people/{slug},src/app/api/people/[slug]/route.ts,anon,,Person detail + books/articles,,manual/none,,
GET,/api/people,src/app/api/people/route.ts,anon,,Published people directory,,manual/none,,
GET|PUT,/api/privacy/consent,src/app/api/privacy/consent/route.ts,anon,20/min/IP(PUT),GET consent state / PUT decision (append-only + cookie),,zod,,429 20/min PUT
GET,/api/privacy/cookies,src/app/api/privacy/cookies/route.ts,anon,,Cookie inventory metadata,,manual/none,,
GET,/api/products/{slug},src/app/api/products/[slug]/route.ts,anon,,Product detail (thin delegate to getProductDetail),,manual/none,,404 unpublished/missing
GET,/api/products/facets,src/app/api/products/facets/route.ts,anon,,Filter facets + price domain,,manual/none,,
GET,/api/products,src/app/api/products/route.ts,anon,,Storefront listing (server paginated pageSize<=48),,manual/none,,
POST,/api/reviews/{id}/helpful,src/app/api/reviews/[id]/helpful/route.ts,customer,30/min/IP,Toggle helpful vote (no self-vote; P2002 race-safe),,manual/none,,429 30/min
POST,/api/reviews,src/app/api/reviews/route.ts,anon,3/10min/IP,Submit review (PENDING; guests need name; signed-in need verified email),,zod,,429 3/10min; caps 200/5000
GET,/api,src/app/api/route.ts,anon,,"Legacy demo route {message:""Hello, world!""}",,manual/none,,inventory hygiene: leftover scaffold
GET,/api/search,src/app/api/search/route.ts,anon,30/min/IP,"Cross-entity search (bounded take 200 products, 12 people/articles)",,manual/none,yes,429 30/min
GET,/api/series/{slug},src/app/api/series/[slug]/route.ts,anon,,Series volumes detail,,manual/none,,
GET,/api/series,src/app/api/series/route.ts,anon,,Series index,,manual/none,,
GET,/api/settings,src/app/api/settings/route.ts,anon,,Public store/shipping/feature settings + promo + announcements,,manual/none,,
GET|PUT,/api/wishlist,src/app/api/wishlist/route.ts,customer,,GET own slugs / PUT replace-all (max 48) in $transaction,yes,zod,,
